fixture,source,nodes,edges,version,crossings,overlaps,dirChanges,trunkVar,edgeLen,area
mlcm-crossing-challenge,mlcm,8,8,v0-original,0,0,2,243.36,504,84942
mlcm-crossing-challenge,mlcm,8,8,v1-compact-classic,0,0,2,243.36,463,84240
mlcm-crossing-challenge,mlcm,8,8,v2-compact-ordered,0,0,2,243.36,463,84240
mlcm-crossing-challenge,mlcm,8,8,v3-ga-evolved,0,0,2,243.36,463,84240
mlcm-crossing-challenge,mlcm,8,8,v4-grid-ordered,0,0,2,243.36,504,84942
mlcm-dense-interchange,mlcm,13,12,v0-original,0,0,4,0,1094,107406
mlcm-dense-interchange,mlcm,13,12,v1-compact-classic,0,0,4,0,1461,187083
mlcm-dense-interchange,mlcm,13,12,v2-compact-ordered,0,0,4,0,1461,187083
mlcm-dense-interchange,mlcm,13,12,v3-ga-evolved,0,0,4,0,1455,187083
mlcm-dense-interchange,mlcm,13,12,v4-grid-ordered,0,0,4,0,1094,107406
mlcm-diamond-merge,mlcm,11,10,v0-original,0,0,1,0,594,111618
mlcm-diamond-merge,mlcm,11,10,v1-compact-classic,0,0,1,0,563,115830
mlcm-diamond-merge,mlcm,11,10,v2-compact-ordered,0,0,1,0,563,115830
mlcm-diamond-merge,mlcm,11,10,v3-ga-evolved,0,0,1,0,563,115830
mlcm-diamond-merge,mlcm,11,10,v4-grid-ordered,0,0,1,0,594,111618
mlcm-parallel-runs,mlcm,10,9,v0-original,0,0,1,186.24,618,130221
mlcm-parallel-runs,mlcm,10,9,v1-compact-classic,0,0,1,186.24,534,122850
mlcm-parallel-runs,mlcm,10,9,v2-compact-ordered,0,0,1,186.24,534,122850
mlcm-parallel-runs,mlcm,10,9,v3-ga-evolved,0,0,1,186.24,534,122850
mlcm-parallel-runs,mlcm,10,9,v4-grid-ordered,0,0,1,186.24,618,130221
mlcm-trunk-branches,mlcm,17,16,v0-original,0,4,0,0,1015,130221
mlcm-trunk-branches,mlcm,17,16,v1-compact-classic,0,4,0,0,1066,146055
mlcm-trunk-branches,mlcm,17,16,v2-compact-ordered,0,4,0,0,1066,146055
mlcm-trunk-branches,mlcm,17,16,v3-ga-evolved,0,1,0,0,1050,166920
mlcm-trunk-branches,mlcm,17,16,v4-grid-ordered,0,4,0,0,1015,130221
metro-bvg,metro,169,180,v0-original,145,6,61,4136.69,25961,1377816
metro-bvg,metro,169,180,v1-compact-classic,145,8,61,4136.69,19440,1560174
metro-bvg,metro,169,180,v2-compact-ordered,17,5,36,8000.27,15665,1679601
metro-bvg,metro,169,180,v3-ga-evolved,35,4,49,11489.31,16209,1572879
metro-bvg,metro,169,180,v4-grid-ordered,17,4,36,8000.27,22493,1483284
metro-lisboa,metro,50,52,v0-original,2,4,12,150.22,8327,848718
metro-lisboa,metro,50,52,v1-compact-classic,2,4,12,150.22,5653,863421
metro-lisboa,metro,50,52,v2-compact-ordered,1,4,5,150.22,5519,797004
metro-lisboa,metro,50,52,v3-ga-evolved,0,4,10,150.22,5690,863421
metro-lisboa,metro,50,52,v4-grid-ordered,1,4,5,150.22,8145,783432
metro-montpellier,metro,82,85,v0-original,14,8,18,2405.39,11108,945945
metro-montpellier,metro,82,85,v1-compact-classic,14,8,18,2405.39,6472,816660
metro-montpellier,metro,82,85,v2-compact-ordered,4,6,19,900.66,5536,707772
metro-montpellier,metro,82,85,v3-ga-evolved,11,10,22,1790.48,6379,762216
metro-montpellier,metro,82,85,v4-grid-ordered,4,7,19,900.66,10419,819819
metro-nantes,metro,81,80,v0-original,16,1,19,9358.09,9855,814968
metro-nantes,metro,81,80,v1-compact-classic,16,1,19,9358.09,6315,873432
metro-nantes,metro,81,80,v2-compact-ordered,5,1,10,9699.97,6160,932354
metro-nantes,metro,81,80,v3-ga-evolved,9,1,13,11792.99,6314,982611
metro-nantes,metro,81,80,v4-grid-ordered,5,1,10,9699.97,9835,869946
metro-stockholm,metro,99,99,v0-original,9,3,18,271.38,12059,868920
metro-stockholm,metro,99,99,v1-compact-classic,9,3,18,271.38,8136,1027665
metro-stockholm,metro,99,99,v2-compact-ordered,1,25,11,2897.97,8285,1151280
metro-stockholm,metro,99,99,v3-ga-evolved,20,3,24,5285.35,8418,1118070
metro-stockholm,metro,99,99,v4-grid-ordered,1,23,11,2897.97,12164,973440
metro-wien,metro,98,104,v0-original,9,16,21,4285.73,13750,1007370
metro-wien,metro,98,104,v1-compact-classic,9,14,21,4285.73,7509,921102
metro-wien,metro,98,104,v2-compact-ordered,3,20,15,4087.69,7359,921102
metro-wien,metro,98,104,v3-ga-evolved,14,21,23,4520.75,7923,986895
metro-wien,metro,98,104,v4-grid-ordered,3,22,15,4087.69,13647,1007370
airport_luggage,internal,8,7,v0-original,0,0,0,0,630,185328
airport_luggage,internal,8,7,v1-compact-classic,0,0,0,0,378,126360
airport_luggage,internal,8,7,v2-compact-ordered,0,0,0,0,378,126360
airport_luggage,internal,8,7,v3-ga-evolved,0,0,0,0,378,126360
airport_luggage,internal,8,7,v4-grid-ordered,0,0,0,0,630,185328
cicd,internal,8,8,v0-original,0,0,1,0,743,197262
cicd,internal,8,8,v1-compact-classic,0,0,1,0,567,151740
cicd,internal,8,8,v2-compact-ordered,0,0,1,0,567,151740
cicd,internal,8,8,v3-ga-evolved,0,0,1,0,567,151740
cicd,internal,8,8,v4-grid-ordered,0,0,1,0,743,197262
o2c_full,internal,12,13,v0-original,0,0,1,0,1367,273132
o2c_full,internal,12,13,v1-compact-classic,0,0,1,0,837,182088
o2c_full,internal,12,13,v2-compact-ordered,0,0,1,0,837,182088
o2c_full,internal,12,13,v3-ga-evolved,0,0,1,0,837,182088
o2c_full,internal,12,13,v4-grid-ordered,0,0,1,0,1367,273132
hire_to_retire,internal,9,8,v0-original,0,1,0,350.44,731,222552
hire_to_retire,internal,9,8,v1-compact-classic,0,1,0,350.44,496,166914
hire_to_retire,internal,9,8,v2-compact-ordered,0,1,0,350.44,496,166914
hire_to_retire,internal,9,8,v3-ga-evolved,0,1,0,350.44,496,166914
hire_to_retire,internal,9,8,v4-grid-ordered,0,1,0,350.44,731,222552
logistics_ship,internal,9,8,v0-original,0,0,0,0,720,206388
logistics_ship,internal,9,8,v1-compact-classic,0,0,0,0,432,138996
logistics_ship,internal,9,8,v2-compact-ordered,0,0,0,0,432,138996
logistics_ship,internal,9,8,v3-ga-evolved,0,0,0,0,432,138996
logistics_ship,internal,9,8,v4-grid-ordered,0,0,0,0,720,206388
healthcare,internal,9,9,v0-original,0,0,0,0,833,222552
healthcare,internal,9,9,v1-compact-classic,0,0,0,0,621,166914
healthcare,internal,9,9,v2-compact-ordered,0,0,0,0,621,166914
healthcare,internal,9,9,v3-ga-evolved,0,0,0,0,621,166914
healthcare,internal,9,9,v4-grid-ordered,0,0,0,0,833,222552
manufacturing,internal,9,8,v0-original,0,1,0,0,720,206388
manufacturing,internal,9,8,v1-compact-classic,0,1,0,0,432,138996
manufacturing,internal,9,8,v2-compact-ordered,0,1,0,0,432,138996
manufacturing,internal,9,8,v3-ga-evolved,0,1,0,0,432,138996
manufacturing,internal,9,8,v4-grid-ordered,0,1,0,0,720,206388
movie_production,internal,9,10,v0-original,0,0,0,0,1013,222552
movie_production,internal,9,10,v1-compact-classic,0,0,0,0,729,166914
movie_production,internal,9,10,v2-compact-ordered,0,0,0,0,729,166914
movie_production,internal,9,10,v3-ga-evolved,0,0,0,0,729,166914
movie_production,internal,9,10,v4-grid-ordered,0,0,0,0,1013,222552
deep_chain,internal,10,9,v0-original,0,0,0,0,810,227448
deep_chain,internal,10,9,v1-compact-classic,0,0,0,0,486,151632
deep_chain,internal,10,9,v2-compact-ordered,0,0,0,0,486,151632
